species,x,y
Lacerta,-8.492471,37.26988
Lacerta,-8.491865,37.360014
Lacerta,-8.378951,37.359475
Lacerta,-8.941829,39.523963
Lacerta,-8.941754,39.614066
Lacerta,-8.825034,39.704049
Lacerta,-8.708391,39.703815
Lacerta,-8.59175,39.703463
Lacerta,-8.475111,39.702995
Lacerta,-8.359308,39.612313
Lacerta,-8.244782,39.431423
Lacerta,-8.243807,39.521518
Lacerta,-8.242827,39.611613
Lacerta,-8.241844,39.701706
Lacerta,-8.126351,39.610795
Lacerta,-8.013704,39.33959
Lacerta,-8.00988,39.609861
Lacerta,-7.893415,39.60881
Lacerta,-8.824806,39.794148
Lacerta,-8.824577,39.884246
Lacerta,-8.824347,39.974342
Lacerta,-8.708011,39.793913
Lacerta,-8.707629,39.88401
Lacerta,-8.707246,39.974105
Lacerta,-8.706861,40.064199
Lacerta,-8.706474,40.154292
Lacerta,-8.591218,39.79356
Lacerta,-8.590146,39.97375
Lacerta,-8.589607,40.063843
Lacerta,-8.589065,40.153935
Lacerta,-8.474427,39.79309
Lacerta,-8.47166,40.153458
Lacerta,-8.3568,39.882595
Lacerta,-8.355956,39.972686
Lacerta,-8.355108,40.062775
Lacerta,-8.354257,40.152863
Lacerta,-8.240856,39.791797
Lacerta,-8.239863,39.881887
Lacerta,-8.238866,39.971976
Lacerta,-8.237864,40.062063
Lacerta,-8.236858,40.152149
Lacerta,-8.124076,39.790974
Lacerta,-8.122931,39.881062
Lacerta,-8.121781,39.971148
Lacerta,-8.120625,40.061233
Lacerta,-8.119464,40.151316
Lacerta,-8.007302,39.790034
Lacerta,-8.006004,39.880119
Lacerta,-8.0047,39.970202
Lacerta,-8.003391,40.060283
Lacerta,-8.002075,40.150363
Lacerta,-7.890533,39.788976
Lacerta,-7.889083,39.879058
Lacerta,-7.887626,39.969137
Lacerta,-7.886162,40.059215
Lacerta,-7.884692,40.149292
Lacerta,-7.549682,39.334733
Lacerta,-7.547816,39.424809
Lacerta,-7.433696,39.333229
Lacerta,-7.431681,39.423301
Lacerta,-7.429657,39.513371
Lacerta,-7.317718,39.33161
Lacerta,-7.315555,39.421677
Lacerta,-7.435701,39.243156
Lacerta,-7.322016,39.151473
Lacerta,-7.319872,39.241543
Lacerta,-7.206345,39.14975
Lacerta,-7.204053,39.239814
Lacerta,-7.090683,39.147912
Lacerta,-7.770558,39.967955
Lacerta,-7.768941,40.058029
Lacerta,-7.767316,40.148102
Lacerta,-7.653498,39.966654
Lacerta,-7.649947,40.146793
Lacerta,-7.53452,40.055301
Lacerta,-7.532586,40.145365
Lacerta,-7.417322,40.053759
Lacerta,-7.415234,40.143818
Lacerta,-7.180558,40.140368
Lacerta,-7.063236,40.138464
Lacerta,-8.82365,40.244622
Lacerta,-8.706085,40.244383
Lacerta,-8.705694,40.334473
Lacerta,-8.705302,40.424561
Lacerta,-8.588521,40.244025
Lacerta,-8.587425,40.4242
Lacerta,-8.586874,40.514286
Lacerta,-8.586319,40.60437
Lacerta,-8.47096,40.243547
Lacerta,-8.469551,40.42372
Lacerta,-8.468842,40.513804
Lacerta,-8.468129,40.603887
Lacerta,-8.352543,40.333035
Lacerta,-8.35168,40.423119
Lacerta,-8.349942,40.603282
Lacerta,-8.234833,40.332316
Lacerta,-8.233813,40.422398
Lacerta,-8.232788,40.512478
Lacerta,-8.231759,40.602556
Lacerta,-8.118298,40.241397
Lacerta,-8.114768,40.511634
Lacerta,-8.113581,40.60171
Lacerta,-8.000754,40.240442
Lacerta,-7.999426,40.330519
Lacerta,-7.998093,40.420595
Lacerta,-7.996754,40.510669
Lacerta,-7.995408,40.600742
Lacerta,-7.883216,40.239367
Lacerta,-7.880242,40.419514
Lacerta,-7.878745,40.509585
Lacerta,-7.877241,40.599654
Lacerta,-8.701691,41.235292
Lacerta,-8.70128,41.325366
Lacerta,-8.700868,41.415439
Lacerta,-8.700454,41.50551
Lacerta,-8.582941,41.144847
Lacerta,-8.582369,41.234921
Lacerta,-8.581218,41.415066
Lacerta,-8.580638,41.505136
Lacerta,-8.463786,41.144354
Lacerta,-8.463051,41.234426
Lacerta,-8.462312,41.324498
Lacerta,-8.460825,41.504636
Lacerta,-8.585763,40.694453
Lacerta,-8.585204,40.784535
Lacerta,-8.584642,40.874615
Lacerta,-8.584078,40.964694
Lacerta,-8.583511,41.054771
Lacerta,-8.466695,40.784048
Lacerta,-8.465973,40.874127
Lacerta,-8.465247,40.964204
Lacerta,-8.464518,41.054279
Lacerta,-8.344634,41.143737
Lacerta,-8.343736,41.233808
Lacerta,-8.341015,41.504012
Lacerta,-8.225487,41.142998
Lacerta,-8.224425,41.233066
Lacerta,-8.223358,41.323133
Lacerta,-8.222286,41.413199
Lacerta,-8.221209,41.503263
Lacerta,-8.106344,41.142135
Lacerta,-8.105118,41.232201
Lacerta,-8.102651,41.412328
Lacerta,-8.101408,41.50239
Lacerta,-7.987206,41.141149
Lacerta,-7.985818,41.231212
Lacerta,-7.984422,41.321273
Lacerta,-7.983021,41.411333
Lacerta,-7.981613,41.501391
Lacerta,-7.868075,41.14004
Lacerta,-7.866523,41.230099
Lacerta,-7.864964,41.320157
Lacerta,-7.863398,41.410213
Lacerta,-7.861824,41.500268
Lacerta,-8.349068,40.693361
Lacerta,-8.348189,40.78344
Lacerta,-8.347306,40.873516
Lacerta,-8.34642,40.963591
Lacerta,-8.345529,41.053665
Lacerta,-8.230726,40.692634
Lacerta,-8.229687,40.782709
Lacerta,-8.228644,40.872784
Lacerta,-8.227597,40.962856
Lacerta,-8.226544,41.052928
Lacerta,-8.112389,40.691784
Lacerta,-8.11119,40.781857
Lacerta,-8.109987,40.871929
Lacerta,-8.108778,40.961999
Lacerta,-8.107564,41.052068
Lacerta,-7.994057,40.690814
Lacerta,-7.992699,40.780884
Lacerta,-7.991335,40.870952
Lacerta,-7.989965,40.961019
Lacerta,-7.988589,41.051085
Lacerta,-7.874214,40.779789
Lacerta,-7.872689,40.869854
Lacerta,-7.871158,40.959917
Lacerta,-7.86962,41.049979
Lacerta,-8.577103,42.045526
Lacerta,-8.819771,41.6859
Lacerta,-8.819519,41.775967
Lacerta,-8.819266,41.866034
Lacerta,-8.819012,41.956099
Lacerta,-8.700038,41.59558
Lacerta,-8.69962,41.685648
Lacerta,-8.6992,41.775715
Lacerta,-8.698778,41.865781
Lacerta,-8.698354,41.955845
Lacerta,-8.580055,41.595204
Lacerta,-8.57947,41.685272
