X,X_WGS84,Y_WGS84,Lacerta
489,-6.634754,42.292092,1
490,-7.130266,41.941017,1
491,-7.009706,41.93899,1
492,-6.889158,41.936836,1
493,-6.768625,41.934556,1
494,-6.648106,41.932149,1
495,-7.713115,42.939635,1
496,-7.711236,43.029661,1
497,-7.709348,43.119685,1
498,-7.707451,43.209707,1
499,-7.705545,43.299728,1
500,-7.59059,42.938192,1
501,-7.588531,43.028213,1
502,-7.586464,43.118232,1
503,-7.584386,43.20825,1
504,-7.463589,43.116648,1
505,-7.340725,43.114932,1
506,-7.223072,42.933076,1
507,-7.220478,43.023081,1
508,-7.722384,42.489485,1
509,-7.720547,42.579518,1
510,-7.718702,42.669549,1
511,-7.714986,42.849608,1
512,-7.60074,42.488064,1
513,-7.472516,42.756581,1
514,-7.352748,42.66487,1
515,-7.235866,42.483027,1
516,-7.233331,42.57304,1
517,-7.230784,42.663051,1
518,-7.228225,42.753061,1
519,-7.100589,42.931108,1
520,-7.097816,43.021107,1
521,-7.09503,43.111104,1
522,-7.092232,43.2011,1
523,-7.08942,43.291094,1
524,-6.978118,42.92901,1
525,-6.975167,43.019002,1
526,-6.972202,43.108993,1
527,-6.969223,43.198982,1
528,-6.966231,43.288969,1
529,-6.855662,42.92678,1
530,-6.852532,43.016766,1
531,-6.849388,43.10675,1
532,-6.846229,43.196732,1
533,-6.843055,43.286712,1
534,-6.733219,42.92442,1
535,-6.729911,43.014398,1
536,-6.610792,42.921929,1
537,-6.607305,43.011899,1
538,-6.600284,43.191835,1
539,-6.596749,43.2818,1
540,-7.111554,42.571097,1
541,-7.108831,42.661102,1
542,-7.103349,42.841108,1
543,-6.989789,42.569025,1
544,-6.983981,42.74902,1
545,-6.981056,42.839016,1
546,-6.871097,42.47683,1
547,-6.864965,42.656815,1
548,-6.861878,42.746805,1
549,-6.858777,42.836794,1
550,-6.73979,42.74446,1
551,-6.736512,42.834441,1
552,-6.627986,42.472054,1
553,-6.624578,42.562032,1
554,-6.621155,42.652009,1
555,-6.617717,42.741984,1
556,-6.614262,42.831957,1
557,-7.701708,43.479766,1
558,-7.697834,43.659798,1
559,-7.695884,43.749812,1
560,-7.575981,43.568308,1
561,-7.452195,43.566698,1
562,-7.333377,43.384951,1
563,-7.086596,43.381087,1
564,-7.083758,43.471078,1
565,-7.080907,43.561067,1
566,-6.960204,43.46894,1
567,-6.95717,43.558922,1
568,-6.839867,43.376691,1
569,-6.83667,43.466668,1
570,-6.586046,43.551685,1
571,-6.590889,40.219679,1
572,-6.587692,40.30969,1
573,-6.58448,40.3997,1
574,-6.470124,40.307178,1
575,-6.466757,40.397179,1
576,-6.463374,40.48718,1
577,-6.352572,40.304545,1
578,-6.349048,40.394539,1
579,-6.345509,40.484531,1
580,-6.227659,40.481762,1
581,-6.223946,40.571743,1
582,-6.109827,40.478873,1
583,-6.105957,40.568845,1
584,-6.030374,40.296613,1
585,-6.02842,40.386633,1
586,-6.026456,40.476651,1
587,-6.070326,41.378518,1
588,-6.524117,42.019596,1
589,-6.520616,42.109575,1
590,-6.5171,42.199552,1
591,-6.513567,42.289527,1
592,-6.510018,42.379501,1
593,-6.403459,42.016929,1
594,-6.399788,42.106899,1
595,-6.396101,42.196867,1
596,-6.392397,42.286834,1
597,-6.282818,42.014134,1
598,-6.279006,42.104095,1
599,-6.275119,42.194056,1
600,-6.271243,42.284014,1
601,-6.158184,42.101166,1
602,-6.146053,42.371012,1
603,-6.407112,41.926957,1
604,-6.286641,41.924171,1
605,-6.481034,43.09923,1
606,-6.477336,43.189188,1
607,-6.365986,42.916555,1
608,-6.358283,43.09646,1
609,-6.354405,43.18641,1
610,-6.239588,43.003616,1
611,-6.235549,43.093558,1
612,-6.112834,43.090526,1
613,-6.108597,43.180457,1
614,-6.024674,43.178186,1
615,-6.022505,43.268166,1
616,-6.506453,42.469473,1
617,-6.495659,42.739379,1
618,-6.259508,42.553877,1
619,-6.12543,42.820721,1
620,-6.469887,43.3691,1
621,-6.346594,43.366304,1
622,-6.338711,43.546192,1
623,-6.219205,43.453311,1
624,-6.095767,43.45024,1
625,-6.09145,43.540164,1
626,-5.49702,39.407066,1
627,-5.503474,39.587101,1
628,-5.380976,39.409501,1
629,-5.384046,39.499527,1
630,-5.38713,39.589551,1
631,-5.967719,40.11662,1
632,-5.874866,40.118964,1
633,-5.640429,40.124551,1
634,-5.523186,40.127166,1
635,-5.405929,40.129663,1
636,-5.267839,39.501853,1
637,-5.270773,39.591884,1
638,-4.802885,39.509996,1
639,-4.686619,39.511741,1
640,-4.688802,39.601805,1
641,-4.690995,39.691866,1
642,-4.570343,39.513371,1
643,-4.572376,39.603439,1
644,-4.454058,39.514883,1
645,-4.45594,39.604957,1
646,-4.337764,39.51628,1
647,-4.339496,39.606358,1
648,-4.218321,39.337393,1
649,-5.288657,40.132041,1
650,-5.171372,40.134301,1
651,-5.054074,40.136442,1
652,-3.973914,38.438594,1
653,-3.858282,38.34938,1
654,-3.743854,38.350162,1
655,-3.28682,38.53241,1
656,-5.971615,40.296664,1
657,-5.878667,40.208943,1
658,-5.882485,40.298921,1
659,-5.886321,40.388896,1
660,-5.890174,40.47887,1
661,-5.894044,40.568843,1
662,-5.761302,40.211805,1
663,-5.764965,40.301791,1
664,-5.768645,40.391776,1
665,-5.643921,40.214548,1
666,-5.647429,40.304543,1
667,-5.650952,40.394536,1
668,-5.654492,40.484528,1
669,-5.526524,40.217171,1
670,-5.529876,40.307175,1
671,-5.533244,40.397177,1
672,-5.409112,40.219676,1
673,-5.412309,40.309688,1
674,-5.97752,43.178244,1
675,-5.891404,43.180454,1
676,-5.756391,42.913669,1
677,-5.760412,43.003613,1
678,-5.768509,43.183497,1
679,-5.641718,43.096457,1
680,-5.645596,43.186407,1
681,-5.649492,43.276355,1
682,-5.515285,43.009267,1
683,-5.518966,43.099227,1
684,-5.522665,43.189185,1
685,-5.52638,43.279142,1
686,-5.966785,42.728322,1
687,-5.968914,42.818309,1
688,-5.866269,42.64084,1
689,-5.87041,42.73078,1
690,-5.874571,42.820718,1
691,-5.748405,42.733775,1
692,-5.752389,42.823723,1
693,-5.618819,42.556722,1
694,-5.622592,42.646682,1
695,-5.626382,42.736641,1
696,-5.63019,42.826597,1
697,-5.981885,43.358203,1
698,-5.986291,43.538156,1
699,-5.899938,43.360312,1
700,-5.780796,43.453309,1
701,-5.789082,43.633174,1
702,-5.653406,43.366302,1
703,-5.657339,43.456246,1
704,-5.661289,43.546189,1
