X,X_WGS84,Y_WGS84,Rana
510,-6.762319,42.114546,1
511,-6.759145,42.204538,1
512,-6.755956,42.294529,1
513,-6.752752,42.384519,1
514,-6.64479,42.022137,1
515,-6.64146,42.112124,1
516,-6.638115,42.202109,1
517,-6.634754,42.292092,1
518,-6.631378,42.382074,1
519,-7.009706,41.93899,1
520,-6.889158,41.936836,1
521,-6.768625,41.934556,1
522,-6.648106,41.932149,1
523,-7.711236,43.029661,1
524,-7.709348,43.119685,1
525,-7.707451,43.209707,1
526,-7.705545,43.299728,1
527,-7.588531,43.028213,1
528,-7.584386,43.20825,1
529,-7.463589,43.116648,1
530,-7.345567,42.934912,1
531,-7.223072,42.933076,1
532,-7.217871,43.113084,1
533,-7.215253,43.203086,1
534,-7.212623,43.293086,1
535,-7.722384,42.489485,1
536,-7.720547,42.579518,1
537,-7.716848,42.759579,1
538,-7.714986,42.849608,1
539,-7.60074,42.488064,1
540,-7.598729,42.578092,1
541,-7.596708,42.66812,1
542,-7.592638,42.848169,1
543,-7.479105,42.486514,1
544,-7.476919,42.576538,1
545,-7.35748,42.484835,1
546,-7.355119,42.574854,1
547,-7.352748,42.66487,1
548,-7.350365,42.754886,1
549,-7.235866,42.483027,1
550,-7.233331,42.57304,1
551,-7.230784,42.663051,1
552,-7.228225,42.753061,1
553,-7.225654,42.843069,1
554,-7.100589,42.931108,1
555,-7.097816,43.021107,1
556,-7.09503,43.111104,1
557,-7.092232,43.2011,1
558,-7.08942,43.291094,1
559,-6.972202,43.108993,1
560,-6.969223,43.198982,1
561,-6.966231,43.288969,1
562,-6.855662,42.92678,1
563,-6.846229,43.196732,1
564,-6.733219,42.92442,1
565,-6.729911,43.014398,1
566,-6.610792,42.921929,1
567,-6.607305,43.011899,1
568,-7.111554,42.571097,1
569,-7.108831,42.661102,1
570,-7.106097,42.751106,1
571,-7.103349,42.841108,1
572,-6.992674,42.479024,1
573,-6.989789,42.569025,1
574,-6.986892,42.659023,1
575,-6.983981,42.74902,1
576,-6.981056,42.839016,1
577,-6.871097,42.47683,1
578,-6.868038,42.566823,1
579,-6.864965,42.656815,1
580,-6.861878,42.746805,1
581,-6.858777,42.836794,1
582,-6.749534,42.474506,1
583,-6.746301,42.564492,1
584,-6.743053,42.654477,1
585,-6.73979,42.74446,1
586,-6.736512,42.834441,1
587,-6.627986,42.472054,1
588,-6.624578,42.562032,1
589,-6.617717,42.741984,1
590,-6.614262,42.831957,1
591,-7.703631,43.389748,1
592,-7.701708,43.479766,1
593,-7.699776,43.569783,1
594,-7.697834,43.659798,1
595,-7.580203,43.388282,1
596,-7.578097,43.478296,1
597,-7.575981,43.568308,1
598,-7.573855,43.658318,1
599,-7.456784,43.386683,1
600,-7.454495,43.476691,1
601,-7.452195,43.566698,1
602,-7.449885,43.656704,1
603,-7.333377,43.384951,1
604,-7.330904,43.474954,1
605,-7.328421,43.564955,1
606,-7.20998,43.383085,1
607,-7.207325,43.473083,1
608,-7.204658,43.563078,1
609,-7.086596,43.381087,1
610,-6.960204,43.46894,1
611,-6.83667,43.466668,1
612,-6.713139,43.464263,1
613,-6.58963,43.461725,1
614,-6.590889,40.219679,1
615,-6.587692,40.30969,1
616,-6.58448,40.3997,1
617,-6.581254,40.489708,1
618,-6.470124,40.307178,1
619,-6.466757,40.397179,1
620,-6.463374,40.48718,1
621,-6.349048,40.394539,1
622,-6.345509,40.484531,1
623,-6.227659,40.481762,1
624,-6.223946,40.571743,1
625,-6.11368,40.388899,1
626,-6.109827,40.478873,1
627,-6.105957,40.568845,1
628,-6.030374,40.296613,1
629,-6.02842,40.386633,1
630,-6.026456,40.476651,1
631,-6.024487,40.566668,1
632,-6.070326,41.378518,1
633,-6.220217,40.661723,1
634,-6.102069,40.658816,1
635,-6.524117,42.019596,1
636,-6.520616,42.109575,1
637,-6.5171,42.199552,1
