X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-6.749534,42.474506,train,1.9517008915640618E298,100.0,1.0
-6.746301,42.564492,train,0.033926489069261614,13.95436559260239,0.1366441390289799
-6.743053,42.654477,train,0.029346489964845884,13.218431824508702,0.12041881365074869
-6.736512,42.834441,train,Infinity,100.0,NaN
-6.627986,42.472054,train,Infinity,100.0,NaN
-6.624578,42.562032,train,0.006921170023128074,3.070591821635954,0.0312781363396379
-6.614262,42.831957,train,Infinity,100.0,NaN
-7.701708,43.479766,train,Infinity,100.0,NaN
-7.697834,43.659798,train,Infinity,100.0,NaN
-7.580203,43.388282,train,Infinity,100.0,NaN
-7.456784,43.386683,train,Infinity,100.0,NaN
-7.454495,43.476691,train,Infinity,100.0,NaN
-7.452195,43.566698,train,4.515702702796296E63,100.0,1.0
-7.333377,43.384951,train,Infinity,100.0,NaN
-7.328421,43.564955,train,3.6102967493753047E62,100.0,1.0
-7.204658,43.563078,train,3.1356489431164977E62,100.0,1.0
-7.086596,43.381087,train,4.356271864493501E62,100.0,1.0
-6.713139,43.464263,train,6.722970914487077E61,100.0,1.0
-6.58963,43.461725,train,2.183191466871995E64,100.0,1.0
-6.58448,40.3997,train,Infinity,100.0,NaN
-6.470124,40.307178,train,0.009370388187123218,4.116241688651274,0.04188305502668105
-6.466757,40.397179,train,Infinity,100.0,NaN
-6.463374,40.48718,train,1.2721213595521325E298,100.0,1.0
-6.349048,40.394539,train,1.4646798566848562E298,100.0,1.0
-6.345509,40.484531,train,5.292578469996467E297,100.0,1.0
-6.11368,40.388899,train,9.424383408757441E-4,0.35872169962744027,0.004377336851875502
-6.109827,40.478873,train,1.4831051127145777E297,100.0,1.0
-6.105957,40.568845,train,2.043674361262829E297,100.0,1.0
-6.030374,40.296613,train,8.518165900240012E-4,0.2973039212826516,0.003958092633315374
-6.02842,40.386633,train,8.353586942905595E-4,0.29083373366151366,0.0038819154358189613
-6.026456,40.476651,train,9.089666370893316E-4,0.3343039675382564,0.0042225275190903265
-6.024487,40.566668,train,1.202770141163378E297,100.0,1.0
-6.070326,41.378518,train,1.5998630401189242E-5,0.035951559241996514,7.46298625094645E-5
-6.220217,40.661723,train,1.723979814976403E297,100.0,1.0
-6.102069,40.658816,train,1.3485098004985858E297,100.0,1.0
-6.524117,42.019596,train,2.068322386200899E298,100.0,1.0
-6.520616,42.109575,train,Infinity,100.0,NaN
-6.5171,42.199552,train,Infinity,100.0,NaN
-6.513567,42.289527,train,Infinity,100.0,NaN
-6.399788,42.106899,train,3.191546987019705E299,100.0,1.0
-6.396101,42.196867,train,Infinity,100.0,NaN
-6.392397,42.286834,train,Infinity,100.0,NaN
-6.388675,42.376799,train,Infinity,100.0,NaN
-6.282818,42.014134,train,1.5214154568651126E297,100.0,1.0
-6.279006,42.104095,train,2.1972903495042148E297,100.0,1.0
-6.271243,42.284014,train,1.74231527970699E300,100.0,1.0
-6.162195,42.011213,train,3.2175140500043094E-5,0.05388845987395497,1.500781672902599E-4
-6.051998,42.008323,train,2.514424614483383E-5,0.05127565335185037,1.1728701351455713E-4
-6.049954,42.098321,train,3.135093314899322E-5,0.05368699972100406,1.4623428539065135E-4
-6.531069,41.839634,train,3.971125285932706E297,100.0,1.0
-6.527602,41.929627,train,1.6917709332929968E298,100.0,1.0
-6.410751,41.836994,train,2.233102784244546E297,100.0,1.0
-6.407112,41.926957,train,2.3148353573659342E297,100.0,1.0
-6.286641,41.924171,train,1.3693911828586975E297,100.0,1.0
-6.362143,43.006508,train,Infinity,100.0,NaN
-6.112834,43.090526,train,4.5048341044573794E42,100.0,1.0
-6.502872,42.559443,train,4.160101849370762E297,100.0,1.0
-6.499274,42.649412,train,4.7898806737088915E297,100.0,1.0
-6.247611,42.823726,train,Infinity,100.0,NaN
-6.12543,42.820721,train,Infinity,100.0,NaN
-6.037488,42.638278,train,0.36806253864144295,70.34372791603383,0.6319542682255029
-6.338711,43.546192,train,5.0871117047576086E61,100.0,1.0
-6.219205,43.453311,train,4.8184413726556143E61,100.0,1.0
-6.215071,43.543245,train,4.659848919390949E61,100.0,1.0
-5.50024,39.497085,train,7.219222882014481E-4,0.24623782405365388,0.0033565453376289012
-5.503474,39.587101,train,6.075886271439122E-4,0.2012892200922039,0.002826458617544791
-5.506723,39.677116,train,1.1662818881606602E-5,0.0286866155103681,5.440541798521073E-5
-5.757655,40.121817,train,9.223822225444211E296,100.0,1.0
-5.270773,39.591884,train,1.281359673241388E-5,0.030614821175203807,5.9773314742954496E-5
-5.288657,40.132041,train,4.7504193609752486E-26,4.7504193609752484E-24,2.216124723612012E-25
-5.171372,40.134301,train,3.272432462209522E-6,8.195047311378151E-4,1.5266037003636404E-5
-5.969661,40.206643,train,0.0011559721217294023,0.5104323477865894,0.005363815902212026
-5.97752,40.566719,train,6.258411597753823E296,100.0,1.0
-5.878667,40.208943,train,2.1222431016751308E297,100.0,1.0
-5.886321,40.388896,train,4.816117514856074E296,100.0,1.0
-5.761302,40.211805,train,6.89635814526778E296,100.0,1.0
-5.768645,40.391776,train,7.180374527073016E296,100.0,1.0
-5.776054,40.571741,train,4.235716481469854E296,100.0,1.0
-5.647429,40.304543,train,1.1732146522689161E297,100.0,1.0
-5.650952,40.394536,train,1.2129304872024713E297,100.0,1.0
-5.526524,40.217171,train,2.6767594188476274E299,100.0,1.0
-5.529876,40.307175,train,6.892734509117705E296,100.0,1.0
-5.533244,40.397177,train,3.731954444233222E296,100.0,1.0
-5.536627,40.487177,train,5.493332469951732E-4,0.18599201543819566,0.002556151493373086
-5.409112,40.219676,train,6.840294650986461E-4,0.2313407996137956,0.003180924772626027
-5.412309,40.309688,train,1.0489679511583006E299,100.0,1.0
-5.966785,42.728322,train,1.5476203727051334,100.0,0.8783429126370423
-5.866269,42.64084,train,0.0036010742538934667,2.3172725748373852,0.01652186368777571
-5.752389,42.823723,train,0.6128163675965145,100.0,0.7408559824869952
