x,y,species cloglog values
294.0,294.0,0.23859675
295.0,295.0,3.6455685E-4
296.0,296.0,0.0031974588
297.0,297.0,0.016413739
298.0,298.0,5.966668E-4
299.0,299.0,0.0027687484
300.0,300.0,0.61102223
301.0,301.0,0.044183016
302.0,302.0,6.206454E-4
303.0,303.0,0.00433499
304.0,304.0,0.5897017
305.0,305.0,0.05282866
306.0,306.0,0.02428142
307.0,307.0,0.0010338075
308.0,308.0,0.06852919
309.0,309.0,0.0012488391
310.0,310.0,0.0015324045
311.0,311.0,0.21374592
312.0,312.0,0.045545697
313.0,313.0,0.010621669
314.0,314.0,0.0023450973
315.0,315.0,0.13483703
316.0,316.0,0.22127153
317.0,317.0,0.37337628
318.0,318.0,0.050771195
319.0,319.0,1.591153E-4
320.0,320.0,1.7331813E-4
321.0,321.0,0.0045709503
322.0,322.0,0.0014889935
323.0,323.0,0.038297318
324.0,324.0,0.010536362
325.0,325.0,0.0058048083
326.0,326.0,0.0013143776
327.0,327.0,0.018806666
328.0,328.0,0.004926217
329.0,329.0,1.7182347E-4
330.0,330.0,0.052549016
331.0,331.0,3.8761014E-4
332.0,332.0,7.313118E-4
333.0,333.0,0.1519638
334.0,334.0,0.008673077
335.0,335.0,0.06561811
336.0,336.0,0.010599182
337.0,337.0,0.22134644
338.0,338.0,1.1969245E-5
339.0,339.0,0.09702519
340.0,340.0,0.010236429
341.0,341.0,0.10704811
342.0,342.0,0.18189283
343.0,343.0,6.998422E-4
344.0,344.0,0.052962996
345.0,345.0,0.0058083483
346.0,346.0,1.9554721E-4
347.0,347.0,0.25841543
348.0,348.0,0.24111553
349.0,349.0,0.37720326
350.0,350.0,0.024364036
351.0,351.0,0.015087502
352.0,352.0,0.18105821
353.0,353.0,0.0193995
354.0,354.0,2.7190745E-4
355.0,355.0,0.22686179
356.0,356.0,0.069141395
357.0,357.0,0.007112663
358.0,358.0,2.3481435E-4
359.0,359.0,0.47518152
360.0,360.0,0.8037593
361.0,361.0,0.0010181613
362.0,362.0,0.91856307
363.0,363.0,0.01620919
364.0,364.0,0.8796381
365.0,365.0,5.9693295E-4
366.0,366.0,0.09896864
367.0,367.0,0.01836451
368.0,368.0,0.002302716
369.0,369.0,0.011127361
370.0,370.0,0.003766484
371.0,371.0,0.026899192
372.0,372.0,0.25320745
373.0,373.0,1.4675745E-4
374.0,374.0,0.020562617
375.0,375.0,0.0024384412
376.0,376.0,0.14213422
377.0,377.0,0.0010805844
378.0,378.0,0.21720472
379.0,379.0,0.8456664
380.0,380.0,0.04668233
381.0,381.0,1.1274048E-4
382.0,382.0,0.415339
383.0,383.0,0.1367695
384.0,384.0,1.000432E-5
385.0,385.0,0.030263798
386.0,386.0,0.057682995
387.0,387.0,0.52583545
388.0,388.0,0.020586666
389.0,389.0,0.0011418957
390.0,390.0,2.059949E-4
391.0,391.0,0.16806263
392.0,392.0,0.016658332
393.0,393.0,0.0023329684
394.0,394.0,0.017622706
395.0,395.0,0.009499185
396.0,396.0,0.51679784
397.0,397.0,0.9253842
398.0,398.0,0.0909395
399.0,399.0,0.004704153
