Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.92068E-5,8.750752521,0.181058214,0.262282181,0.055363322,0
8.02173E-5,9.00586858,0.183142476,0.258684654,0.058823529,0
8.22334E-5,9.257664495,0.187284852,0.25519955,0.062283737,0
8.41488E-5,9.507268036,0.191200991,0.251826869,0.064013841,0
8.58337E-5,9.753913996,0.194630311,0.24856661,0.064013841,0
8.73228E-5,10.005323033,0.197648882,0.245306352,0.064013841,0
8.94305E-5,10.253311396,0.201902198,0.242158516,0.064013841,0
9.13697E-5,10.506288784,0.205795489,0.23901068,0.065743945,0
9.25646E-5,10.754618843,0.208185111,0.235975267,0.069204152,0
9.41206E-5,11.006516653,0.2112861,0.232939854,0.070934256,0
9.58033E-5,11.253320842,0.214625796,0.230016863,0.074394464,0
9.71275E-5,11.504229822,0.217243962,0.227093873,0.076124567,0
9.90035E-5,11.759222576,0.220938388,0.224170883,0.077854671,0
1.00115E-4,12.008090345,0.223119584,0.221360315,0.081314879,0
1.01525E-4,12.260048969,0.225876424,0.218549747,0.081314879,0
1.03917E-4,12.506465465,0.230532227,0.215851602,0.084775087,0
1.07214E-4,12.75990375,0.236903356,0.213153457,0.088235294,0
1.09409E-4,13.008774144,0.241115521,0.210567735,0.089965398,0
1.11907E-4,13.252331056,0.24588132,0.208094435,0.091695502,0
1.14061E-4,13.500465764,0.249967038,0.205621135,0.098615917,0
1.15815E-4,13.753492611,0.253276902,0.203147836,0.100346021,0
1.18397E-4,14.011203647,0.258123128,0.200674536,0.100346021,0
1.20811E-4,14.250599933,0.262624228,0.198426082,0.102076125,0
1.23806E-4,14.50773774,0.268173734,0.196065205,0.103806228,0
1.27728E-4,14.758266019,0.275375764,0.193816751,0.105536332,0
1.31802E-4,15.005152745,0.282781983,0.19168072,0.110726644,0
1.36045E-4,15.258680561,0.290415544,0.189544688,0.114186851,0
1.42706E-4,15.510590662,0.302234971,0.187521079,0.117647059,0
1.45177E-4,15.754993393,0.306570105,0.185609893,0.117647059,0
1.50207E-4,16.006459338,0.315309232,0.183698707,0.12283737,0
1.55285E-4,16.264652061,0.324022809,0.181787521,0.128027682,0
1.60364E-4,16.50180262,0.332624104,0.18010118,0.129757785,0
1.64004E-4,16.76138185,0.338723251,0.178302417,0.133217993,0
1.70999E-4,17.013191972,0.350285074,0.176616076,0.136678201,0
1.77399E-4,17.257961897,0.360686935,0.175042159,0.138408304,0
1.83285E-4,17.511238097,0.370107289,0.173468241,0.14532872,0
1.88695E-4,17.753523452,0.378642353,0.172006745,0.148788927,0
1.94496E-4,18.002526124,0.38766539,0.17054525,0.150519031,0
1.99175E-4,18.257875645,0.394848033,0.169083755,0.150519031,0
2.03721E-4,18.520153733,0.401745931,0.16762226,0.150519031,0
2.07259E-4,18.76655251,0.407059995,0.166273187,0.152249135,0
2.11477E-4,19.017684695,0.413334189,0.164924115,0.153979239,0
2.17086E-4,19.253405211,0.421573504,0.163687465,0.153979239,0
2.21313E-4,19.517081283,0.427706493,0.162338392,0.157439446,0
2.25355E-4,19.762199862,0.433510239,0.161101743,0.157439446,0
2.28552E-4,20.011914508,0.438058577,0.159865093,0.15916955,0
2.32162E-4,20.265145722,0.443150778,0.158628443,0.15916955,0
2.34939E-4,20.522208719,0.447036659,0.157391793,0.15916955,0
2.39699E-4,20.758990055,0.453635462,0.156267566,0.160899654,0
2.42663E-4,21.024176131,0.457704417,0.155030916,0.167820069,0
2.44794E-4,21.267922315,0.460609598,0.153906689,0.169550173,0
2.49224E-4,21.515354001,0.466602684,0.152782462,0.171280277,0
2.5169E-4,21.766046709,0.469909248,0.151658235,0.171280277,0
2.55198E-4,22.01958614,0.47457815,0.150534008,0.176470588,0
2.57137E-4,22.250433629,0.477141181,0.149522203,0.176470588,0
2.59992E-4,22.508681686,0.480891561,0.148397976,0.178200692,0
