CENTROX,CENTROY,PM
395000.0000,4505000.000,1
395000.0000,4515000.000,1
405000.0000,4505000.000,1
415000.0000,4505000.000,1
405000.0000,4515000.000,1
415000.0000,4515000.000,1
425000.0000,4515000.000,1
415000.0000,4525000.000,1
425000.0000,4525000.000,1
435000.0000,4525000.000,1
425000.0000,4535000.000,1
435000.0000,4535000.000,1
425000.0000,4545000.000,1
435000.0000,4545000.000,1
445000.0000,4545000.000,1
455000.0000,4545000.000,1
445000.0000,4555000.000,1
455000.0000,4555000.000,1
465000.0000,4555000.000,1
475000.0000,4555000.000,1
455000.0000,4565000.000,1
465000.0000,4565000.000,1
475000.0000,4565000.000,1
465000.0000,4575000.000,1
485000.0000,4575000.000,1
495000.0000,4575000.000,1
455000.0000,4585000.000,1
485000.0000,4585000.000,1
465000.0000,4595000.000,1
385000.0000,4495000.000,1
395000.0000,4495000.000,1
405000.0000,4495000.000,1
695000.0000,4475000.000,1
695000.0000,4485000.000,1
695000.0000,4495000.000,1
257099.6840,4735000.000,1
257277.3464,4745000.000,1
257455.6388,4755000.000,1
258710.5077,4825000.000,1
258350.5850,4805000.000,1
258170.8763,4795000.000,1
257991.7478,4785000.000,1
257812.6192,4775000.000,1
257633.9312,4765000.000,1
742900.3160,4735000.000,1
743077.7688,4725000.000,1
743255.2216,4715000.000,1
743608.4633,4695000.000,1
265000.0000,4805000.000,1
275000.0000,4805000.000,1
285000.0000,4805000.000,1
295000.0000,4805000.000,1
295000.0000,4815000.000,1
265000.0000,4815000.000,1
275000.0000,4815000.000,1
285000.0000,4815000.000,1
265000.0000,4825000.000,1
275000.0000,4825000.000,1
285000.0000,4825000.000,1
275000.0000,4835000.000,1
265000.0000,4795000.000,1
275000.0000,4795000.000,1
285000.0000,4795000.000,1
295000.0000,4795000.000,1
265000.0000,4785000.000,1
275000.0000,4785000.000,1
285000.0000,4785000.000,1
295000.0000,4785000.000,1
265000.0000,4775000.000,1
285000.0000,4775000.000,1
295000.0000,4775000.000,1
275000.0000,4765000.000,1
285000.0000,4765000.000,1
265000.0000,4755000.000,1
285000.0000,4755000.000,1
295000.0000,4755000.000,1
265000.0000,4745000.000,1
285000.0000,4745000.000,1
265000.0000,4735000.000,1
295000.0000,4735000.000,1
275000.0000,4725000.000,1
285000.0000,4725000.000,1
295000.0000,4725000.000,1
275000.0000,4715000.000,1
285000.0000,4715000.000,1
295000.0000,4715000.000,1
725000.0000,4455000.000,1
735000.0000,4455000.000,1
725000.0000,4465000.000,1
735000.0000,4465000.000,1
705000.0000,4475000.000,1
715000.0000,4475000.000,1
705000.0000,4485000.000,1
715000.0000,4485000.000,1
705000.0000,4745000.000,1
715000.0000,4745000.000,1
725000.0000,4745000.000,1
735000.0000,4745000.000,1
705000.0000,4735000.000,1
715000.0000,4735000.000,1
725000.0000,4735000.000,1
735000.0000,4735000.000,1
705000.0000,4725000.000,1
715000.0000,4725000.000,1
725000.0000,4725000.000,1
735000.0000,4725000.000,1
705000.0000,4715000.000,1
715000.0000,4715000.000,1
768323.5082,4706533.186,1
757639.0736,4715802.646,1
767615.9553,4716510.735,1
777594.0414,4717218.957,1
787573.3319,4717927.313,1
756930.4477,4725778.859,1
766907.1981,4726488.152,1
776885.1510,4727197.578,1
786864.3065,4727907.137,1
756220.6193,4735754.942,1
808243.6220,4709362.064,1
818226.6657,4710069.628,1
828210.9155,4710777.333,1
838196.3714,4711485.180,1
848183.0333,4712193.173,1
858170.9012,4712901.312,1
868159.9752,4713609.600,1
878150.2553,4714318.038,1
807535.5257,4719344.434,1
817518.4291,4720053.203,1
827502.5367,4720762.113,1
837487.8487,4721471.166,1
847474.3648,4722180.364,1
857462.0853,4722889.708,1
867451.0100,4723599.201,1
796844.6646,4728616.832,1
806826.2251,4729326.665,1
816808.9882,4730036.637,1
826792.9537,4730746.750,1
836778.1217,4731457.007,1
856752.0651,4732877.956,1
796134.3000,4738597.721,1
806115.7220,4739308.756,1
816098.3447,4740019.930,1
826082.1682,4740731.244,1
836067.1923,4741442.702,1
805404.0182,4749290.708,1
815386.5007,4750003.081,1
898134.4337,4715735.372,1
908128.3320,4716444.271,1
978119.3927,4721411.075,1
988122.9406,4722121.285,1
873088.8622,4643678.188,1
872388.3769,4653668.840,1
871686.6748,4663659.342,1
851005.6286,4672242.944,1
860994.0866,4672946.245,1
870983.7578,4673649.694,1
880974.6422,4674353.294,1
890966.7400,4675057.045,1
830328.8084,4680822.133,1
840314.6960,4681526.355,1
860290.1056,4682935.235,1
870279.6275,4683639.896,1
880270.3609,4684344.708,1
890262.3057,4685049.671,1
809656.1947,4689396.906,1
829624.0531,4690807.343,1
839609.7968,4691512.775,1
869574.2858,4693629.948,1
879564.8681,4694335.970,1
889556.6600,4695042.144,1
808950.5123,4699379.555,1
818933.6963,4700085.911,1
828918.0882,4700792.409,1
838903.6880,4701499.050,1
848890.4956,4702205.836,1
858878.5111,4702912.768,1
