X,Y,CENTROX,CENTROY,PM,XCOORD,YCOORD
-4.65826655394909,43.0237772119839,365000.0000,4765000.000,1,-4.658267,43.023777
-4.41288261443599,43.0270703333328,385000.0000,4765000.000,1,-4.412883,43.027070
-4.29017596547105,43.028519647457,395000.0000,4765000.000,1,-4.290176,43.028520
-5.39762887483268,43.1007145108953,305000.0000,4775000.000,1,-5.397629,43.100715
-5.27484228173234,43.1032227559323,315000.0000,4775000.000,1,-5.274842,43.103223
-5.15204033292687,43.1055993399984,325000.0000,4775000.000,1,-5.152040,43.105599
-5.02922385422323,43.1078442188473,335000.0000,4775000.000,1,-5.029224,43.107844
-4.9063936720474,43.1099573506758,345000.0000,4775000.000,1,-4.906394,43.109957
-4.78355061340943,43.1119386961258,355000.0000,4775000.000,1,-4.783551,43.111939
-4.66069550586838,43.1137882182868,365000.0000,4775000.000,1,-4.660696,43.113788
-4.41495245684744,43.1170916573488,385000.0000,4775000.000,1,-4.414952,43.117092
-5.40114972951528,43.1906830468068,305000.0000,4785000.000,1,-5.401150,43.190683
-5.27818321780061,43.1931991452232,315000.0000,4785000.000,1,-5.278183,43.193199
-5.15520126636039,43.1955831710266,325000.0000,4785000.000,1,-5.155201,43.195583
-5.0322047055049,43.1978350797365,335000.0000,4785000.000,1,-5.032205,43.197835
-4.90919436616934,43.1999548293284,345000.0000,4785000.000,1,-4.909194,43.199955
-4.78617107987855,43.2019423802358,355000.0000,4785000.000,1,-4.786171,43.201942
-4.6631356787116,43.2037976953529,365000.0000,4785000.000,1,-4.663136,43.203798
-4.41703186262401,43.2071114821057,385000.0000,4785000.000,1,-4.417032,43.207111
-4.29396511431343,43.2085698918494,395000.0000,4785000.000,1,-4.293965,43.208570
-5.40468685370371,43.2806499333156,305000.0000,4795000.000,1,-5.404687,43.280650
-5.28153959371875,43.2831739079699,315000.0000,4795000.000,1,-5.281540,43.283174
-5.15837680932759,43.2855653971765,325000.0000,4795000.000,1,-5.158377,43.285565
-5.03519933537909,43.2878243562192,335000.0000,4795000.000,1,-5.035199,43.287824
-4.91200800735299,43.2899507428508,345000.0000,4795000.000,1,-4.912008,43.289951
-4.7888036613243,43.2919445172949,355000.0000,4795000.000,1,-4.788804,43.291945
-4.66558713392757,43.2938056422488,365000.0000,4795000.000,1,-4.665587,43.293806
-4.54235926232112,43.2955340828852,375000.0000,4795000.000,1,-4.542359,43.295534
-4.41912088415117,43.2971298068542,385000.0000,4795000.000,1,-4.419121,43.297130
-4.29587283751596,43.2985927842851,395000.0000,4795000.000,1,-4.295873,43.298593
-3.91799121802731,42.7619585206509,425000.0000,4735000.000,1,-3.917991,42.761959
-3.67358194675823,42.7636569548334,445000.0000,4735000.000,1,-3.673582,42.763657
-3.91932372548599,42.8519998952511,425000.0000,4745000.000,1,-3.919324,42.852000
-3.30738204798036,42.8552781889788,475000.0000,4745000.000,1,-3.307382,42.855278
-3.18498427795233,42.8555413630969,485000.0000,4745000.000,1,-3.184984,42.855541
-3.0625852715531,42.8556736919663,495000.0000,4745000.000,1,-3.062585,42.855674
-4.165757966304,42.9398059591886,405000.0000,4755000.000,1,-4.165758,42.939806
-4.04321366959834,42.9409884734538,415000.0000,4755000.000,1,-4.043214,42.940988
