X,Y,CENTROX,CENTROY,EA,XCOORD,YCOORD
-0.371148835076871,42.8255018681831,715000.0000,4745000.000,1,-0.371149,42.825502
-0.248946850262336,42.822628982526,725000.0000,4745000.000,1,-0.248947,42.822629
-0.496997560187212,42.7382773282813,705000.0000,4735000.000,1,-0.496998,42.738277
-0.374954523330223,42.735543299149,715000.0000,4735000.000,1,-0.374955,42.735543
-0.252928914863109,42.732679386966,725000.0000,4735000.000,1,-0.252929,42.732679
-0.13092154022251,42.7296856445475,735000.0000,4735000.000,1,-0.130922,42.729686
-0.500610155360367,42.6483085281149,705000.0000,4725000.000,1,-0.500610,42.648309
-0.378742783081678,42.6455830418108,715000.0000,4725000.000,1,-0.378743,42.645583
-0.135060843804802,42.6397436877077,735000.0000,4725000.000,1,-0.135061,42.639744
-0.504206217563793,42.5583380659168,705000.0000,4715000.000,1,-0.504206,42.558338
-0.382513708005323,42.5556210981341,715000.0000,4715000.000,1,-0.382514,42.555621
-0.507785835468486,42.4683659435077,705000.0000,4705000.000,1,-0.507786,42.468366
-0.39000392445887,42.3756921596376,715000.0000,4695000.000,1,-0.390004,42.375692
-0.147365541679392,42.3699073960052,735000.0000,4695000.000,1,-0.147366,42.369907
-0.393723399750455,42.2857251687591,715000.0000,4685000.000,1,-0.393723,42.285725
-0.272567677028858,42.2829057429281,725000.0000,4685000.000,1,-0.272568,42.282906
-0.151429705722141,42.2799584993159,735000.0000,4685000.000,1,-0.151430,42.279958
0.136529982353675,42.549803181779,757639.0736,4715802.646,1,0.136530,42.549803
0.379862285483711,42.5556299181961,777594.0414,4717218.957,1,0.379862,42.555630
0.501554724162069,42.5583497022229,787573.3319,4717927.313,1,0.501555,42.558350
0.132405799410855,42.6397467869092,756930.4477,4725778.859,1,0.132406,42.639747
0.254237594134036,42.6427340005231,766907.1981,4726488.152,1,0.254238,42.642734
0.376087542239798,42.6455917892987,776885.1510,4727197.578,1,0.376088,42.645592
0.497954842498753,42.6483201006808,786864.3065,4727907.137,1,0.497955,42.648320
0.128262662496159,42.7296886528649,756220.6193,4735754.942,1,0.128263,42.729689
0.748223219836463,42.4734139960649,808243.6220,4709362.064,1,0.748223,42.473414
0.869788332379913,42.4757389760232,818226.6657,4710069.628,1,0.869788,42.475739
0.991367434709113,42.4779351005541,828210.9155,4710777.333,1,0.991367,42.477935
1.11295973088271,42.4800023293527,838196.3714,4711485.180,1,1.112960,42.480002
1.23456442463102,42.4819406244148,848183.0333,4712193.173,1,1.234564,42.481941
1.35618071905329,42.4837499503254,858170.9012,4712901.312,1,1.356181,42.483750
1.47780781691264,42.4854302737259,868159.9752,4713609.600,1,1.477808,42.485430
1.59944492035072,42.486981563736,878150.2553,4714318.038,1,1.599445,42.486982
1.7210912311729,42.488403792009,888141.7415,4715026.628,1,1.721091,42.488404
0.744988187890242,42.5634018525168,807535.5257,4719344.434,1,0.744988,42.563402
0.866727616035425,42.5657341258483,817518.4291,4720053.203,1,0.866728,42.565734
0.988481109041014,42.5679371400612,827502.5367,4720762.113,1,0.988481,42.567937
1.11024786710887,42.5700108545471,837487.8487,4721471.166,1,1.110248,42.570011
1.23202708952928,42.5719552312706,847474.3648,4722180.364,1,1.232027,42.571955
1.35381797493839,42.5737702344398,857462.0853,4722889.708,1,1.353818,42.573770
1.47561972201972,42.5754558306079,867451.0100,4723599.201,1,1.475620,42.575456
0.619838693033882,42.6509188845379,796844.6646,4728616.832,1,0.619839,42.650919
0.741738291431109,42.6533880929917,806826.2251,4729326.665,1,0.741738,42.653388
0.863652834476565,42.6557276804773,816808.9882,4730036.637,1,0.863653,42.655728
0.985581518518648,42.6579376038964,826792.9537,4730746.750,1,0.985582,42.657938
1.10752353907077,42.6600178225871,836778.1217,4731457.007,1,1.107524,42.660018
1.22947809108211,42.6619682982937,846764.4922,4732167.408,1,1.229478,42.661968
1.35144436927625,42.6637889949167,856752.0651,4732877.956,1,1.351444,42.663789
1.47342156768045,42.6654798789513,866740.8405,4733588.652,1,1.473422,42.665480
0.616398013748917,42.7408957667096,796134.3000,4738597.721,1,0.616398,42.740896
0.738473450211802,42.743372716,806115.7220,4739308.756,1,0.738473,42.743373
0.860563912133538,42.7457196384618,816098.3447,4740019.930,1,0.860564,42.745720
0.982668591432299,42.7479364908673,826082.1682,4740731.244,1,0.982669,42.747936
1.10478667930305,42.7500232323915,836067.1923,4741442.702,1,1.104787,42.750023
1.22691736662116,42.7519798244437,846053.4170,4742154.305,1,1.226917,42.751980
1.34905984358966,42.7538062308327,856040.8425,4742866.055,1,1.349060,42.753806
0.857460772302998,42.835709998451,815386.5007,4750003.081,1,0.857461,42.835710
0.979742255612425,42.8379337997418,825370.1820,4750715.596,1,0.979742,42.837934
1.73194804652648,41.9481633823799,892371.9669,4655071.331,1,1.731948,41.948163
1.00560255518985,42.0279013156128,831734.6828,4660851.285,1,1.005603,42.027901
1.12633440359197,42.0299363888762,841720.8583,4661553.081,1,1.126334,42.029936
1.24707832346045,42.0318445321213,851708.2488,4662255.021,1,1.247078,42.031845
1.73015919153681,42.038207146665,891669.9610,4665064.265,1,1.730159,42.038207
1.12368387025948,42.1199526814781,841018.3838,4671539.790,1,1.123684,42.119953
1.24459837639569,42.1218668212841,851005.6286,4672242.944,1,1.244598,42.121867
1.48646067483845,42.1253129784101,870983.7578,4673649.694,1,1.486461,42.125313
1.60740690572508,42.126844933024,880974.6422,4674353.294,1,1.607407,42.126845
1.7283621493633,42.1282494336262,890966.7400,4675057.045,1,1.728362,42.128249
0.757839920435464,42.2034407466934,810360.6674,4679414.117,1,0.757840,42.203441
0.878886841245066,42.2057439697235,820344.1322,4680118.055,1,0.878887,42.205744
1.12102120134627,42.2099674230017,840314.6960,4681526.355,1,1.121021,42.209967
1.24210707375679,42.2118875761621,850301.7951,4682230.721,1,1.242107,42.211888
1.48431228256045,42.2153445604992,870279.6275,4683639.896,1,1.484312,42.215345
1.60543004896473,42.2168813285777,880270.3609,4684344.708,1,1.605430,42.216881
1.72655687628124,42.2182902424382,890262.3057,4685049.671,1,1.726557,42.218290
0.754649007461452,42.2934334416092,809656.1947,4689396.906,1,0.754649,42.293433
0.875867870623005,42.2957438965544,819639.5191,4690102.054,1,0.875868,42.295744
0.997100574523018,42.2979263000588,829624.0531,4690807.343,1,0.997101,42.297926
1.1183463319514,42.299980612307,839609.7968,4691512.775,1,1.118346,42.299981
1.36087385531742,42.3037048151408,859584.9131,4692924.076,1,1.360874,42.303705
1.48215404397589,42.3053746376853,869574.2858,4693629.948,1,1.482154,42.305375
1.60344413155005,42.3069162328186,879564.8681,4694335.970,1,1.603444,42.306916
1.72474332845476,42.3083295722977,889556.6600,4695042.144,1,1.724743,42.308330
0.751443466635759,42.3834245252482,808950.5123,4699379.555,1,0.751443,42.383425
