X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-6.624578,42.562032,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.617717,42.741984,train,0.15031709208951882,100.0,0.8847555532609745
-6.614262,42.831957,train,69.94932390327139,100.0,0.999720166304801
-7.703631,43.389748,train,Infinity,100.0,NaN
-7.701708,43.479766,train,Infinity,100.0,NaN
-7.699776,43.569783,train,Infinity,100.0,NaN
-7.697834,43.659798,train,Infinity,100.0,NaN
-7.580203,43.388282,train,Infinity,100.0,NaN
-7.578097,43.478296,train,Infinity,100.0,NaN
-7.575981,43.568308,train,Infinity,100.0,NaN
-7.573855,43.658318,train,Infinity,100.0,NaN
-7.456784,43.386683,train,Infinity,100.0,NaN
-7.454495,43.476691,train,Infinity,100.0,NaN
-7.452195,43.566698,train,20603.550283037952,100.0,0.999999049695904
-7.449885,43.656704,train,Infinity,100.0,NaN
-7.333377,43.384951,train,Infinity,100.0,NaN
-7.330904,43.474954,train,20603.550283037952,100.0,0.999999049695904
-7.328421,43.564955,train,6484.946632142886,100.0,0.9999969807619358
-7.20998,43.383085,train,20603.550283037952,100.0,0.999999049695904
-7.207325,43.473083,train,20603.550283037952,100.0,0.999999049695904
-7.204658,43.563078,train,6484.946632142886,100.0,0.9999969807619358
-7.086596,43.381087,train,6484.946632142886,100.0,0.9999969807619358
-6.960204,43.46894,train,6484.946632142886,100.0,0.9999969807619358
-6.83667,43.466668,train,6484.946632142886,100.0,0.9999969807619358
-6.713139,43.464263,train,3285.653614045385,100.0,0.9999940408994815
-6.58963,43.461725,train,6484.946632142886,100.0,0.9999969807619358
-6.590889,40.219679,train,0.006242461690955114,23.63893305183253,0.2417486266800979
-6.587692,40.30969,train,69.94932390327139,100.0,0.999720166304801
-6.58448,40.3997,train,6.253961651546924,100.0,0.9968790104552118
-6.581254,40.489708,train,6.253961651546924,100.0,0.9968790104552118
-6.470124,40.307178,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.466757,40.397179,train,69.94932390327139,100.0,0.999720166304801
-6.463374,40.48718,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.349048,40.394539,train,0.15031709208951882,100.0,0.8847555532609745
-6.345509,40.484531,train,0.15031709208951882,100.0,0.8847555532609745
-6.227659,40.481762,train,0.15031709208951882,100.0,0.8847555532609745
-6.223946,40.571743,train,0.15031709208951882,100.0,0.8847555532609745
-6.11368,40.388899,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.109827,40.478873,train,0.15031709208951882,100.0,0.8847555532609745
-6.105957,40.568845,train,0.15031709208951882,100.0,0.8847555532609745
-6.030374,40.296613,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.02842,40.386633,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.026456,40.476651,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.024487,40.566668,train,0.15031709208951882,100.0,0.8847555532609745
-6.070326,41.378518,train,0.006242461690955114,23.63893305183253,0.2417486266800979
-6.220217,40.661723,train,0.15031709208951882,100.0,0.8847555532609745
-6.102069,40.658816,train,0.15031709208951882,100.0,0.8847555532609745
-6.524117,42.019596,train,0.15031709208951882,100.0,0.8847555532609745
-6.520616,42.109575,train,69.94932390327139,100.0,0.999720166304801
-6.5171,42.199552,train,222.23843834923392,100.0,0.9999119057345697
-6.513567,42.289527,train,69.94932390327139,100.0,0.999720166304801
-6.399788,42.106899,train,0.15031709208951882,100.0,0.8847555532609745
-6.396101,42.196867,train,69.94932390327139,100.0,0.999720166304801
-6.392397,42.286834,train,69.94932390327139,100.0,0.999720166304801
-6.388675,42.376799,train,69.94932390327139,100.0,0.999720166304801
-6.282818,42.014134,train,0.15031709208951882,100.0,0.8847555532609745
-6.279006,42.104095,train,0.15031709208951882,100.0,0.8847555532609745
-6.271243,42.284014,train,0.15031709208951882,100.0,0.8847555532609745
-6.162195,42.011213,train,0.006242461690955114,23.63893305183253,0.2417486266800979
-6.051998,42.008323,train,0.006242461690955114,23.63893305183253,0.2417486266800979
-6.049954,42.098321,train,0.006242461690955114,23.63893305183253,0.2417486266800979
-6.531069,41.839634,train,0.15031709208951882,100.0,0.8847555532609745
-6.527602,41.929627,train,0.15031709208951882,100.0,0.8847555532609745
-6.410751,41.836994,train,0.15031709208951882,100.0,0.8847555532609745
-6.407112,41.926957,train,0.15031709208951882,100.0,0.8847555532609745
-6.286641,41.924171,train,0.15031709208951882,100.0,0.8847555532609745
-6.166187,41.921259,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.05606,41.828324,train,0.013439405515911395,47.63161652329987,0.4070195989881126
-6.484716,43.009269,train,222.23843834923392,100.0,0.9999119057345697
-6.362143,43.006508,train,Infinity,100.0,NaN
-6.112834,43.090526,train,17.042155685147154,100.0,0.9988524228960419
-6.502872,42.559443,train,0.15031709208951882,100.0,0.8847555532609745
-6.499274,42.649412,train,0.15031709208951882,100.0,0.8847555532609745
-6.247611,42.823726,train,222.23843834923392,100.0,0.9999119057345697
-6.12543,42.820721,train,69.94932390327139,100.0,0.999720166304801
-6.037488,42.638278,train,0.013439405515911395,47.63161652329987,0.4070195989881126
