Especie,X,Y
HM,-5.981793,37.953011
HM,-5.903589,37.954969
HM,-5.907143,38.044981
HM,-5.789900,37.957722
HM,-5.676196,37.960366
HM,-4.181225,36.993451
HM,-3.957635,37.085605
HM,-3.620118,37.087850
HM,-4.068867,36.994516
HM,-3.955377,36.905343
HM,-3.617207,36.727293
HM,-3.619386,36.997713
HM,-3.505222,36.727821
HM,-3.505814,36.817964
HM,-3.393235,36.728243
HM,-3.394158,36.908531
HM,-6.373868,36.609731
HM,-6.370806,36.699784
HM,-6.367730,36.789836
HM,-6.262173,36.607215
HM,-6.258981,36.697260
HM,-6.255775,36.787304
HM,-6.252554,36.877345
HM,-6.157093,36.424518
HM,-6.153800,36.514557
HM,-6.147171,36.694632
HM,-6.143834,36.784666
HM,-6.140483,36.874700
HM,-6.055538,36.241733
HM,-6.050537,36.511959
HM,-6.048855,36.602031
HM,-6.047163,36.692103
HM,-5.948789,36.241775
HM,-5.950458,36.331852
HM,-5.952132,36.421927
HM,-5.953818,36.512002
HM,-5.957205,36.692146
HM,-5.835723,36.154390
HM,-5.838975,36.244434
HM,-5.842242,36.334477
HM,-5.845523,36.424518
HM,-5.852129,36.604596
HM,-5.855454,36.694632
HM,-5.858793,36.784667
HM,-5.724683,36.156970
HM,-5.734100,36.427123
HM,-5.743643,36.697263
HM,-5.721572,36.066915
HM,-5.610645,36.069384
HM,-5.616627,36.249508
HM,-5.619639,36.339567
